-- 커피
BEVERAGE | 커피 | 에스프레소 | 1500 | 에소프레스,에스프레스,에소프레소
BEVERAGE | 커피 | ICE 아메리카노 | 1800 | 아아,아이스,아메리카노,아이스아메리카노
BEVERAGE | 커피 | HOT 아메리카노 | 1500 | 뜨아,핫,아메리카노,핫아메리카노
BEVERAGE | 커피 | 빅포즈 아메리카노 | 3000 | 아이스,아메리카노
BEVERAGE | 커피 | ICE 카페라떼 | 2900 | 라떼,아이스,카페라떼,아이스카페라떼
BEVERAGE | 커피 | HOT 카페라떼 | 2900 | 핫,라떼,카페라떼,핫카페라떼
BEVERAGE | 커피 | 빅포즈 카페라떼 | 4500 | 라떼,카페라떼
BEVERAGE | 커피 | 카푸치노 | 2900 | 핫,카푸치노
BEVERAGE | 커피 | ICE 바닐라라떼 | 3300 | 라떼,아이스,바닐라라떼,아이스바닐라라떼
BEVERAGE | 커피 | HOT 바닐라라떼 | 3300 | 핫,라떼,바닐라라떼,핫바닐라라떼
BEVERAGE | 커피 | 빅포즈 바닐라라떼 | 4900 | 라떼,바닐라라떼
BEVERAGE | 커피 | ICE 헤이즐넛라떼 | 3300 | 라떼,아이스,헤이즐넛라떼,아이스헤이즐넛라떼
BEVERAGE | 커피 | HOT 헤이즐넛라떼 | 3300 | 핫,라떼,헤이즐넛라떼,핫헤이즐넛라떼
BEVERAGE | 커피 | 빅포즈 헤이즐넛라떼 | 4900 | 라떼,헤이즐넛라떼
BEVERAGE | 커피 | ICE 카라멜마끼야또 | 3300 | 아이스,카라멜마끼야또,아이스카라멜마끼야또
BEVERAGE | 커피 | HOT 카라멜마끼야또 | 3300 | 핫,카라멜마끼야또,핫카라멜마끼야또
BEVERAGE | 커피 | ICE 카페모카 | 3500 | 아이스,카페모카,아이스카페모카
BEVERAGE | 커피 | HOT 카페모카 | 3500 | 핫,카페모카,핫카페모카
BEVERAGE | 커피 | ICE 돌체라떼 | 3800 | 라떼,아이스,돌체라떼,아이스돌체라떼
BEVERAGE | 커피 | HOT 돌체라떼 | 3800 | 핫,라떼,돌체라떼,핫돌체라떼
BEVERAGE | 커피 | 빅포즈 돌체라떼 | 5400 | 라떼,돌체라떼
BEVERAGE | 커피 | ICE 흑당카페라떼 | 3800 | 라떼,아이스,흑당카페라떼,아이스흑당카페라떼
BEVERAGE | 커피 | 달고나라떼 | 4000 | 라떼,아이스,달고나라떼
BEVERAGE | 커피 | 아인슈페너 | 4200 | 아이스,아인슈페너
BEVERAGE | 커피 | 아인슈페너라떼 | 4200 | 라떼,아이스,아인슈페너라떼
BEVERAGE | 커피 | ICE 콜드브루 | 3300 | 커피,아이스,콜드브루,아이스콜드브루,더치
BEVERAGE | 커피 | HOT 콜드브루 | 3300 | 핫,커피,콜드브루,핫콜드브루,더치
BEVERAGE | 커피 | ICE 콜드브루라떼 | 3800 | 라떼,아이스,콜드브루라떼,아이스콜드브루라떼,더치
BEVERAGE | 커피 | HOT 콜드브루라떼 | 3800 | 핫,라떼,콜드브루라떼,핫콜드브루라떼,더치

-- 콤보
COMBO | 콤보 | 내 맘대로 콤보 | 0 |

-- 시즌메뉴
-- 진행중 시즌메뉴
BEVERAGE | 시즌메뉴 | 베리펄 딸기라떼 | 4400 | 딸기라떼,라떼
BEVERAGE | 시즌메뉴 | 베리펄 딸기주스 | 4900 | 딸기주스,주스
BEVERAGE | 시즌메뉴 | 딸기 솔티카라멜 프라페 | 4900 | 솔티카라멜프라페,프라페
BEVERAGE | 시즌메뉴 | 딸기 치즈케이크 스무디 | 4900 | 치즈케이크스무디,스무디
BEVERAGE | 시즌메뉴 | 초코베리요거스무디 | 5300 | 스무디,요거트스무디,요거스무디
BEVERAGE | 시즌메뉴 | ICE 부여 밤 라떼 | 3500 | 아이스,라떼,밤라떼
BEVERAGE | 시즌메뉴 | HOT 부여 밤 라떼 | 3500 | 핫,라떼,밤라떼
BEVERAGE | 시즌메뉴 | ICE 부여 밤 생초콜릿 라떼 | 4900 | 아이스,생초콜릿 라떼,라떼,밤라떼,밤생초콜릿라떼
BEVERAGE | 시즌메뉴 | HOT 부여 밤 생초콜릿 라떼 | 4900 | 핫,생초콜릿 라떼,라떼,밤라떼,밤생초콜릿라떼
-- 종료된 시즌메뉴
BEVERAGE | 시즌메뉴 | 리치 알레그로 | 3900 |
BEVERAGE | 시즌메뉴 | 유자 스타카토 | 4300 |
BEVERAGE | 시즌메뉴 | 돌체 세레나데 | 4500 |
BEVERAGE | 시즌메뉴 | 논산에서 온 수박주스 | 3900 | 주스,수박주스
BEVERAGE | 시즌메뉴 | 파인 선셋 스무디 | 4500 | 스무디
BEVERAGE | 시즌메뉴 | 하와이안 에이드 | 2900 | 에이드
BEVERAGE | 시즌메뉴 | 리얼믹스커피 | 2400 | 믹스커피,커피
BEVERAGE | 시즌메뉴 | 빅포즈 리얼믹스커피 | 3900 | 리얼믹스커피,믹스커피,커피
BEVERAGE | 시즌메뉴 | 제로 리얼믹스커피 | 2800 | 리얼믹스커피,제로,믹스커피,커피
BEVERAGE | 시즌메뉴 | 빅포즈 제로 리얼믹스커피 | 4300 | 리얼믹스커피,제로,믹스커피,커피
BEVERAGE | 시즌메뉴 | 바나나 리얼믹스커피 | 3000 | 리얼믹스커피,믹스커피,커피
BEVERAGE | 시즌메뉴 | 제로 바나나 리얼믹스커피 | 3500 | 리얼믹스커피,믹스커피,커피
BEVERAGE | 시즌메뉴 | 빅포즈 바나나 리얼믹스커피 | 4500 | 리얼믹스커피,바나나,믹스커피,커피
BEVERAGE | 시즌메뉴 | 빅포즈 제로 바나나 리얼믹스커피 | 5000 | 리얼믹스커피,제로,바나나,믹스커피,커피
BEVERAGE | 시즌메뉴 | 레몬 사샷추 | 3500 | 사샷추
BEVERAGE | 시즌메뉴 | 오렌지 사샷추 | 3700 | 사샷추
BEVERAGE | 시즌메뉴 | 빅포즈 레몬 사샷추 | 5000 | 사샷추
BEVERAGE | 시즌메뉴 | 빅포즈 오렌지 사샷추 | 5200 | 사샷추
BEVERAGE | 시즌메뉴 | 레몬 사샷추 콜드브루 | 5000 | 사샷추,콜드브루,더치
BEVERAGE | 시즌메뉴 | 오렌지 사샷추 콜드브루 | 5200 | 사샷추,콜드브루,더치

-- 아이스티
BEVERAGE | 아이스티 | 아이스티 | 3000 |
BEVERAGE | 아이스티 | 빅포즈 아이스티 | 3900 |
BEVERAGE | 아이스티 | 아샷추 | 3500 |
BEVERAGE | 아이스티 | 빅포즈 아샷추 | 4400 | 아샷추
BEVERAGE | 아이스티 | 디카페인 아샷추 | 4500 | 아샷추
BEVERAGE | 아이스티 | 디카페인 빅포즈 아샷추 | 5400 | 아샷추,빅포즈아샷추
BEVERAGE | 아이스티 | 아망추 | 3800 |
BEVERAGE | 아이스티 | 빅포즈 아망추 | 5800 | 아망추
BEVERAGE | 아이스티 | 제로슈가 아이스티 | 3000 |
BEVERAGE | 아이스티 | 제로슈가 빅포즈 아이스티 | 3900 | 빅포즈
BEVERAGE | 아이스티 | 디카페인 아이스티 | 3000 |
BEVERAGE | 아이스티 | 디카페인 빅포즈 아이스티 | 3900 | 빅포즈
BEVERAGE | 아이스티 | 디카페인 제로슈가 아이스티 | 3000 | 제로슈가
